 5.72958	762.571	83.6597	9.24595
 11.4592	735.426	76.542	36.3911
 17.1887	692.079	69.7287	79.7375
 22.9183	635.143	63.1259	136.674
 28.6479	567.858	56.7391	203.958
 34.3775	493.789	50.5786	278.028
 40.1070	416.528	44.6477	355.289
 45.8366	339.471	38.9407	432.346
 51.5662	265.655	33.4444	506.162
 57.2958	197.671	28.1404	574.145
 63.0254	137.646	23.007	634.171
 68.7549	87.249	18.0225	684.568
 74.4845	47.7403	13.1699	724.077
 80.2141	20.011	8.45606	751.806
 85.9437	4.57882	4.02634	767.238
 91.6732	0.329442	1.07732	771.487
 97.4028	0.0470247	0.403678	771.77
 103.132	0.016461	0.234538	771.8
 108.862	0.00831113	0.161938	771.809
 114.592	0.00505983	0.121412	771.812
 120.321	0.00345283	0.0952118	771.813
 126.051	0.00254711	0.0765929	771.814
 131.780	0.00199012	0.0624443	771.815
 137.510	0.00162633	0.051132	771.815
 143.239	0.00137871	0.0417126	771.815
 148.969	0.00120572	0.0335999	771.816
 154.699	0.0010835	0.0264067	771.816
 160.428	0.000997765	0.0198623	771.816
 166.158	0.000939725	0.0137669	771.816
 171.887	0.000904023	0.0079646	771.816
 177.617	0.000887593	0.00232533	771.816
