1
                          **** CINEMATIQUE ****
 
78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

         8.60          3.97         0.10        772.33
         8.70         45.43         0.35        730.87
         8.70          3.97         0.10        772.33
         8.80         45.39         0.35        730.91
         8.80          3.98         0.10        772.32
         8.90         45.34         0.36        730.96
         8.90          3.98         0.10        772.32
         9.00         45.30         0.36        731.01
         9.00          3.99         0.10        772.32
         9.10         45.25         0.36        731.05
         9.10          3.99         0.10        772.31
         9.20         45.20         0.37        731.10
         9.20          3.99         0.11        772.31
         9.30         45.15         0.37        731.15
         9.30          4.00         0.11        772.30
         9.40         45.10         0.38        731.20
         9.40          4.00         0.11        772.30
         9.50         45.06         0.38        731.25
         9.50          4.01         0.11        772.29
         9.60         45.01         0.38        731.30
         9.60          4.01         0.11        772.29
         9.70         44.96         0.39        731.35
         9.70          4.02         0.11        772.29
         9.80         44.90         0.39        731.40
         9.80          4.02         0.11        772.28
         9.90         44.85         0.39        731.45
         9.90          4.02         0.11        772.28
        10.00         44.80         0.40        731.50
        10.00          4.03         0.12        772.27
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        10.10         44.75         0.40        731.55
        10.10          4.03         0.12        772.27
        10.20         44.70         0.41        731.60
        10.20          4.04         0.12        772.26
        10.30         44.64         0.41        731.66
        10.30          4.04         0.12        772.26
        10.40         44.59         0.41        731.71
        10.40          4.05         0.12        772.25
        10.50         44.54         0.42        731.77
        10.50          4.05         0.12        772.25
        10.60         44.48         0.42        731.82
        10.60          4.06         0.12        772.24
        10.70         44.43         0.42        731.88
        10.70          4.06         0.12        772.24
        10.80         44.37         0.43        731.93
        10.80          4.07         0.13        772.23
        10.90         44.31         0.43        731.99
        10.90          4.07         0.13        772.23
        11.00         44.26         0.43        732.05
        11.00          4.08         0.13        772.22
        11.10         44.20         0.44        732.10
        11.10          4.08         0.13        772.22
        11.20         44.14         0.44        732.16
        11.20          4.09         0.13        772.21
        11.30         44.08         0.45        732.22
        11.30          4.09         0.13        772.21
        11.40         44.02         0.45        732.28
        11.40          4.10         0.13        772.20
        11.50         43.96         0.45        732.34
        11.50          4.10         0.13        772.20
        11.60         43.90         0.46        732.40
        11.60          4.11         0.14        772.19
        11.70         43.84         0.46        732.46
        11.70          4.12         0.14        772.19
        11.80         43.78         0.46        732.52
        11.80          4.12         0.14        772.18
        11.90         43.72         0.47        732.58
        11.90          4.13         0.14        772.17
        12.00         43.66         0.47        732.64
        12.00          4.13         0.14        772.17
        12.10         43.60         0.47        732.70
        12.10          4.14         0.14        772.16
        12.20         43.53         0.48        732.77
        12.20          4.14         0.14        772.16
        12.30         43.47         0.48        732.83
        12.30          4.15         0.14        772.15
        12.40         43.41         0.48        732.89
        12.40          4.16         0.15        772.14
        12.50         43.34         0.49        732.96
        12.50          4.16         0.15        772.14
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        12.60         43.28         0.49        733.02
        12.60          4.17         0.15        772.13
        12.70         43.21         0.49        733.09
        12.70          4.18         0.15        772.13
        12.80         43.15         0.50        733.15
        12.80          4.18         0.15        772.12
        12.90         43.08         0.50        733.22
        12.90          4.19         0.15        772.11
        13.00         43.01         0.50        733.29
        13.00          4.19         0.15        772.11
        13.10         42.95         0.51        733.36
        13.10          4.20         0.15        772.10
        13.20         42.88         0.51        733.42
        13.20          4.21         0.16        772.09
        13.30         42.81         0.51        733.49
        13.30          4.21         0.16        772.09
        13.40         42.74         0.52        733.56
        13.40          4.22         0.16        772.08
        13.50         42.67         0.52        733.63
        13.50          4.23         0.16        772.07
        13.60         42.60         0.52        733.70
        13.60          4.23         0.16        772.07
        13.70         42.53         0.53        733.77
        13.70          4.24         0.16        772.06
        13.80         42.46         0.53        733.84
        13.80          4.25         0.16        772.05
        13.90         42.39         0.53        733.91
        13.90          4.26         0.16        772.05
        14.00         42.32         0.54        733.98
        14.00          4.26         0.17        772.04
        14.10         42.24         0.54        734.06
        14.10          4.27         0.17        772.03
        14.20         42.17         0.54        734.13
        14.20          4.28         0.17        772.02
        14.30         42.10         0.55        734.20
        14.30          4.28         0.17        772.02
        14.40         42.02         0.55        734.28
        14.40          4.29         0.17        772.01
        14.50         41.95         0.55        734.35
        14.50          4.30         0.17        772.00
        14.60         41.88         0.56        734.43
        14.60          4.31         0.17        771.99
        14.70         41.80         0.56        734.50
        14.70          4.32         0.17        771.99
        14.80         41.72         0.56        734.58
        14.80          4.32         0.18        771.98
        14.90         41.65         0.57        734.65
        14.90          4.33         0.18        771.97
        15.00         41.57         0.57        734.73
        15.00          4.34         0.18        771.96
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        15.10         41.49         0.57        734.81
        15.10          4.35         0.18        771.95
        15.20         41.42         0.58        734.89
        15.20          4.35         0.18        771.95
        15.30         41.34         0.58        734.96
        15.30          4.36         0.18        771.94
        15.40         41.26         0.58        735.04
        15.40          4.37         0.18        771.93
        15.50         41.18         0.59        735.12
        15.50          4.38         0.19        771.92
        15.60         41.10         0.59        735.20
        15.60          4.39         0.19        771.91
        15.70         41.02         0.59        735.28
        15.70          4.40         0.19        771.90
        15.80         40.94         0.59        735.36
        15.80          4.41         0.19        771.90
        15.90         40.86         0.60        735.44
        15.90          4.41         0.19        771.89
        16.00         40.77         0.60        735.53
        16.00          4.42         0.19        771.88
        16.10         40.69         0.60        735.61
        16.10          4.43         0.19        771.87
        16.20         40.61         0.61        735.69
        16.20          4.44         0.19        771.86
        16.30         40.53         0.61        735.77
        16.30          4.45         0.20        771.85
        16.40         40.44         0.61        735.86
        16.40          4.46         0.20        771.84
        16.50         40.36         0.62        735.94
        16.50          4.47         0.20        771.83
        16.60         40.27         0.62        736.03
        16.60          4.48         0.20        771.82
        16.70         40.19         0.62        736.11
        16.70          4.49         0.20        771.81
        16.80         40.10         0.62        736.20
        16.80          4.50         0.20        771.81
        16.90         40.02         0.63        736.29
        16.90          4.51         0.20        771.80
        17.00         39.93         0.63        736.37
        17.00          4.52         0.21        771.79
        17.10         39.84         0.63        736.46
        17.10          4.53         0.21        771.78
        17.20         39.75         0.64        736.55
        17.20          4.53         0.21        771.77
        17.30         39.67         0.64        736.64
        17.30          4.54         0.21        771.76
        17.40         39.58         0.64        736.72
        17.40          4.56         0.21        771.75
        17.50         39.49         0.64        736.81
        17.50          4.57         0.21        771.74
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        17.60         39.40         0.65        736.90
        17.60          4.58         0.21        771.73
        17.70         39.31         0.65        736.99
        17.70          4.59         0.22        771.72
        17.80         39.22         0.65        737.08
        17.80          4.60         0.22        771.70
        17.90         39.13         0.66        737.18
        17.90          4.61         0.22        771.69
        18.00         39.03         0.66        737.27
        18.00          4.62         0.22        771.68
        18.10         38.94         0.66        737.36
        18.10          4.63         0.22        771.67
        18.20         38.85         0.66        737.45
        18.20          4.64         0.22        771.66
        18.30         38.76         0.67        737.55
        18.30          4.65         0.22        771.65
        18.40         38.66         0.67        737.64
        18.40          4.66         0.23        771.64
        18.50         38.57         0.67        737.73
        18.50          4.67         0.23        771.63
        18.60         38.47         0.67        737.83
        18.60          4.68         0.23        771.62
        18.70         38.38         0.68        737.92
        18.70          4.70         0.23        771.61
        18.80         38.28         0.68        738.02
        18.80          4.71         0.23        771.59
        18.90         38.19         0.68        738.11
        18.90          4.72         0.23        771.58
        19.00         38.09         0.68        738.21
        19.00          4.73         0.23        771.57
        19.10         37.99         0.69        738.31
        19.10          4.74         0.24        771.56
        19.20         37.90         0.69        738.41
        19.20          4.76         0.24        771.55
        19.30         37.80         0.69        738.50
        19.30          4.77         0.24        771.53
        19.40         37.70         0.69        738.60
        19.40          4.78         0.24        771.52
        19.50         37.60         0.70        738.70
        19.50          4.79         0.24        771.51
        19.60         37.50         0.70        738.80
        19.60          4.81         0.24        771.50
        19.70         37.40         0.70        738.90
        19.70          4.82         0.25        771.48
        19.80         37.30         0.70        739.00
        19.80          4.83         0.25        771.47
        19.90         37.20         0.71        739.10
        19.90          4.84         0.25        771.46
        20.00         37.10         0.71        739.21
        20.00          4.86         0.25        771.44
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        20.10         36.99         0.71        739.31
        20.10          4.87         0.25        771.43
        20.20         36.89         0.71        739.41
        20.20          4.88         0.25        771.42
        20.30         36.79         0.72        739.51
        20.30          4.90         0.25        771.40
        20.40         36.68         0.72        739.62
        20.40          4.91         0.26        771.39
        20.50         36.58         0.72        739.72
        20.50          4.92         0.26        771.38
        20.60         36.47         0.72        739.83
        20.60          4.94         0.26        771.36
        20.70         36.37         0.73        739.93
        20.70          4.95         0.26        771.35
        20.80         36.26         0.73        740.04
        20.80          4.97         0.26        771.33
        20.90         36.16         0.73        740.14
        20.90          4.98         0.26        771.32
        21.00         36.05         0.73        740.25
        21.00          5.00         0.27        771.30
        21.10         35.94         0.73        740.36
        21.10          5.01         0.27        771.29
        21.20         35.84         0.74        740.47
        21.20          5.03         0.27        771.28
        21.30         35.73         0.74        740.57
        21.30          5.04         0.27        771.26
        21.40         35.62         0.74        740.68
        21.40          5.06         0.27        771.24
        21.50         35.51         0.74        740.79
        21.50          5.07         0.27        771.23
        21.60         35.40         0.74        740.90
        21.60          5.09         0.28        771.21
        21.70         35.29         0.75        741.01
        21.70          5.10         0.28        771.20
        21.80         35.18         0.75        741.12
        21.80          5.12         0.28        771.18
        21.90         35.07         0.75        741.23
        21.90          5.14         0.28        771.17
        22.00         34.96         0.75        741.35
        22.00          5.15         0.28        771.15
        22.10         34.84         0.75        741.46
        22.10          5.17         0.28        771.13
        22.20         34.73         0.76        741.57
        22.20          5.19         0.29        771.12
        22.30         34.62         0.76        741.69
        22.30          5.20         0.29        771.10
        22.40         34.50         0.76        741.80
        22.40          5.22         0.29        771.08
        22.50         34.39         0.76        741.91
        22.50          5.24         0.29        771.07
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

        22.60         34.27         0.76        742.03
        22.60          5.25         0.29        771.05
        22.70         34.16         0.77        742.14
        22.70          5.27         0.29        771.03
        22.80         34.04         0.77        742.26
        22.80          5.29         0.30        771.01
        22.90         33.92         0.77        742.38
        22.90          5.31         0.30        770.99
        23.00         33.81         0.77        742.49
        23.00          5.33         0.30        770.98
        23.10         33.69         0.77        742.61
        23.10          5.34         0.30        770.96
        23.20         33.57         0.77        742.73
        23.20          5.36         0.30        770.94
        23.30         33.45         0.78        742.85
        23.30          5.38         0.30        770.92
        23.40         33.33         0.78        742.97
        23.40          5.40         0.31        770.90
        23.50         33.21         0.78        743.09
        23.50          5.42         0.31        770.88
        23.60         33.09         0.78        743.21
        23.60          5.44         0.31        770.86
        23.70         32.97         0.78        743.33
        23.70          5.46         0.31        770.84
        23.80         32.85         0.78        743.45
        23.80          5.48         0.31        770.82
        23.90         32.73         0.79        743.57
        23.90          5.50         0.32        770.80
        24.00         32.60         0.79        743.70
        24.00          5.52         0.32        770.78
        24.10         32.48         0.79        743.82
        24.10          5.54         0.32        770.76
        24.20         32.36         0.79        743.94
