1
                          **** CINEMATIQUE ****
 
78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        16.30        371.06         0.43       7428.94
        16.40        370.61         0.44       7429.39
        16.50        370.15         0.44       7429.85
        16.60        369.69         0.44       7430.31
        16.70        369.23         0.44       7430.77
        16.80        368.76         0.45       7431.24
        16.90        368.29         0.45       7431.71
        17.00        367.83         0.45       7432.17
        17.10        367.35         0.45       7432.65
        17.20        366.88         0.45       7433.12
        17.30        366.41         0.46       7433.59
        17.40        365.93         0.46       7434.07
        17.50        365.45         0.46       7434.55
        17.60        364.97         0.46       7435.03
        17.70        364.48         0.47       7435.52
        17.80        363.99         0.47       7436.01
        17.90        363.51         0.47       7436.49
        18.00        363.01         0.47       7436.99
        18.10        362.52         0.47       7437.48
        18.20        362.03         0.48       7437.97
        18.30        361.53         0.48       7438.47
        18.40        361.03         0.48       7438.97
        18.50        360.53         0.48       7439.47
        18.60        360.02         0.48       7439.98
        18.70        359.52         0.49       7440.48
        18.80        359.01         0.49       7440.99
        18.90        358.50         0.49       7441.50
        19.00        357.99         0.49       7442.01
        19.10        357.48         0.50       7442.52
        19.20        356.96         0.50       7443.04
        19.30        356.44         0.50       7443.56
        19.40        355.92         0.50       7444.08
        19.50        355.40         0.50       7444.60
        19.60        354.88         0.51       7445.12
        19.70        354.35         0.51       7445.65
        19.80        353.82         0.51       7446.18
        19.90        353.29         0.51       7446.71
        20.00        352.76         0.51       7447.24
        20.10        352.22         0.52       7447.78
        20.20        351.69         0.52       7448.31
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        20.30        351.15         0.52       7448.85
        20.40        350.61         0.52       7449.39
        20.50        350.07         0.52       7449.93
        20.60        349.53         0.53       7450.47
        20.70        348.98         0.53       7451.02
        20.80        348.43         0.53       7451.57
        20.90        347.88         0.53       7452.12
        21.00        347.33         0.53       7452.67
        21.10        346.78         0.54       7453.22
        21.20        346.22         0.54       7453.78
        21.30        345.67         0.54       7454.33
        21.40        345.11         0.54       7454.89
        21.50        344.55         0.54       7455.45
        21.60        343.99         0.54       7456.01
        21.70        343.42         0.55       7456.58
        21.80        342.86         0.55       7457.14
        21.90        342.29         0.55       7457.71
        22.00        341.72         0.55       7458.28
        22.10        341.15         0.55       7458.85
        22.20        340.57         0.56       7459.43
        22.30        340.00         0.56       7460.00
        22.40        339.42         0.56       7460.58
        22.50        338.84         0.56       7461.16
        22.60        338.27         0.56       7461.73
        22.70        337.68         0.56       7462.32
        22.80        337.10         0.57       7462.90
        22.90        336.52         0.57       7463.48
        23.00        335.93         0.57       7464.07
        23.10        335.34         0.57       7464.66
        23.20        334.75         0.57       7465.25
        23.30        334.16         0.57       7465.84
        23.40        333.57         0.58       7466.43
        23.50        332.97         0.58       7467.03
        23.60        332.37         0.58       7467.63
        23.70        331.78         0.58       7468.22
        23.80        331.18         0.58       7468.82
        23.90        330.57         0.59       7469.43
        24.00        329.97         0.59       7470.03
        24.10        329.37         0.59       7470.63
        24.20        328.76         0.59       7471.24
        24.30        328.15         0.59       7471.85
        24.40        327.54         0.59       7472.46
        24.50        326.93         0.59       7473.07
        24.60        326.32         0.60       7473.68
        24.70        325.71         0.60       7474.29
        24.80        325.09         0.60       7474.91
        24.90        324.48         0.60       7475.52
        25.00        323.86         0.60       7476.14
        25.10        323.24         0.60       7476.76
        25.20        322.62         0.61       7477.38
        25.30        322.00         0.61       7478.00
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

