1
                          **** CINEMATIQUE ****
 
78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        71.10         35.92         0.41       7764.08
        71.20         35.55         0.41       7764.45
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        71.30         35.18         0.41       7764.82
        71.40         34.81         0.40       7765.19
        71.50         34.44         0.40       7765.56
        71.60         34.08         0.40       7765.92
        71.70         33.71         0.40       7766.29
        71.80         33.35         0.40       7766.65
        71.90         32.99         0.40       7767.01
        72.00         32.64         0.39       7767.36
        72.10         32.28         0.39       7767.72
        72.20         31.93         0.39       7768.07
        72.30         31.57         0.39       7768.43
        72.40         31.22         0.39       7768.78
        72.50         30.88         0.38       7769.12
        72.60         30.53         0.38       7769.47
        72.70         30.18         0.38       7769.82
        72.80         29.84         0.38       7770.16
        72.90         29.50         0.38       7770.50
        73.00         29.16         0.37       7770.84
        73.10         28.82         0.37       7771.18
        73.20         28.49         0.37       7771.51
        73.30         28.16         0.37       7771.84
        73.40         27.82         0.37       7772.18
        73.50         27.49         0.36       7772.51
        73.60         27.17         0.36       7772.83
        73.70         26.84         0.36       7773.16
        73.80         26.52         0.36       7773.48
        73.90         26.19         0.35       7773.81
        74.00         25.87         0.35       7774.13
        74.10         25.56         0.35       7774.44
        74.20         25.24         0.35       7774.76
        74.30         24.92         0.35       7775.08
        74.40         24.61         0.34       7775.39
        74.50         24.30         0.34       7775.70
        74.60         23.99         0.34       7776.01
        74.70         23.68         0.34       7776.32
        74.80         23.38         0.34       7776.62
        74.90         23.08         0.33       7776.92
        75.00         22.78         0.33       7777.22
        75.10         22.48         0.33       7777.52
        75.20         22.18         0.33       7777.82
        75.30         21.88         0.33       7778.12
        75.40         21.59         0.32       7778.41
        75.50         21.30         0.32       7778.70
        75.60         21.01         0.32       7778.99
        75.70         20.72         0.32       7779.28
        75.80         20.43         0.32       7779.57
        75.90         20.15         0.31       7779.85
        76.00         19.87         0.31       7780.13
        76.10         19.59         0.31       7780.41
        76.20         19.31         0.31       7780.69
        76.30         19.03         0.31       7780.97
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        76.40         18.76         0.30       7781.24
        76.50         18.49         0.30       7781.51
        76.60         18.22         0.30       7781.78
        76.70         17.95         0.30       7782.05
        76.80         17.68         0.29       7782.32
        76.90         17.42         0.29       7782.58
        77.00         17.15         0.29       7782.85
        77.10         16.89         0.29       7783.11
        77.20         16.63         0.29       7783.37
        77.30         16.38         0.28       7783.62
        77.40         16.12         0.28       7783.88
        77.50         15.87         0.28       7784.13
        77.60         15.62         0.28       7784.38
        77.70         15.37         0.28       7784.63
        77.80         15.12         0.27       7784.88
        77.90         14.88         0.27       7785.12
        78.00         14.63         0.27       7785.37
        78.10         14.39         0.27       7785.61
        78.20         14.15         0.26       7785.85
        78.30         13.92         0.26       7786.08
        78.40         13.68         0.26       7786.32
        78.50         13.45         0.26       7786.55
        78.60         13.22         0.26       7786.78
        78.70         12.99         0.25       7787.01
        78.80         12.76         0.25       7787.24
        78.90         12.53         0.25       7787.47
        79.00         12.31         0.25       7787.69
        79.10         12.09         0.25       7787.91
        79.20         11.87         0.24       7788.13
        79.30         11.65         0.24       7788.35
        79.40         11.44         0.24       7788.56
        79.50         11.22         0.24       7788.78
        79.60         11.01         0.23       7788.99
        79.70         10.80         0.23       7789.20
        79.80         10.59         0.23       7789.41
        79.90         10.39         0.23       7789.61
        80.00         10.18         0.23       7789.82
        80.10          9.98         0.22       7790.02
        80.20          9.78         0.22       7790.22
        80.30          9.58         0.22       7790.42
        80.40          9.39         0.22       7790.61
        80.50          9.20         0.21       7790.80
        80.60          9.00         0.21       7791.00
        80.70          8.81         0.21       7791.19
        80.80          8.63         0.21       7791.37
        80.90          8.44         0.21       7791.56
        81.00          8.26         0.20       7791.74
        81.10          8.07         0.20       7791.93
        81.20          7.89         0.20       7792.11
        81.30          7.72         0.20       7792.28
        81.40          7.54         0.19       7792.46
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        81.50          7.37         0.19       7792.63
        81.60          7.20         0.19       7792.80
        81.70          7.03         0.19       7792.97
        81.80          6.86         0.19       7793.14
        81.90          6.69         0.18       7793.31
        82.00          6.53         0.18       7793.47
        82.10          6.37         0.18       7793.63
        82.20          6.21         0.18       7793.79
        82.30          6.05         0.17       7793.95
        82.40          5.89         0.17       7794.11
        82.50          5.74         0.17       7794.26
        82.60          5.59         0.17       7794.41
        82.70          5.44         0.17       7794.56
        82.80          5.29         0.16       7794.71
        82.90          5.15         0.16       7794.85
        83.00          5.00         0.16       7795.00
        83.10          4.86         0.16       7795.14
        83.20          4.72         0.15       7795.28
        83.30          4.58         0.15       7795.42
        83.40          4.45         0.15       7795.55
        83.50          4.31         0.15       7795.69
        83.60          4.18         0.15       7795.82
        83.70          4.05         0.14       7795.95
        83.80          3.93         0.14       7796.07
        83.90          3.80         0.14       7796.20
        84.00          3.68         0.14       7796.32
        84.10          3.56         0.13       7796.44
        84.20          3.44         0.13       7796.56
        84.30          3.32         0.13       7796.68
        84.40          3.20         0.13       7796.80
        84.50          3.09         0.13       7796.91
        84.60          2.98         0.12       7797.02
        84.70          2.87         0.12       7797.13
        84.80          2.76         0.12       7797.24
        84.90          2.66         0.12       7797.34
        85.00          2.55         0.11       7797.45
        85.10          2.45         0.11       7797.55
        85.20          2.35         0.11       7797.65
        85.30          2.26         0.11       7797.74
        85.40          2.16         0.10       7797.84
        85.50          2.07         0.10       7797.93
        85.60          1.98         0.10       7798.02
        85.70          1.89         0.10       7798.11
        85.80          1.80         0.10       7798.20
        85.90          1.72         0.09       7798.28
        86.00          1.64         0.09       7798.36
        86.10          1.56         0.09       7798.44
        86.20          1.48         0.09       7798.52
        86.30          1.40         0.08       7798.60
        86.40          1.33         0.08       7798.67
        86.50          1.25         0.08       7798.75
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        86.60          1.18         0.08       7798.82
        86.70          1.11         0.08       7798.89
        86.80          1.05         0.07       7798.95
        86.90          0.98         0.07       7799.02
        87.00          0.92         0.07       7799.08
        87.10          0.86         0.07       7799.14
        87.20          0.80         0.06       7799.20
        87.30          0.75         0.06       7799.25
        87.40          0.69         0.06       7799.31
        87.50          0.64         0.06       7799.36
        87.60          0.59         0.05       7799.41
        87.70          0.54         0.05       7799.46
        87.80          0.50         0.05       7799.50
        87.90          0.45         0.05       7799.55
        88.00          0.41         0.05       7799.59
        88.10          0.37         0.04       7799.63
        88.20          0.33         0.04       7799.67
        88.30          0.30         0.04       7799.70
        88.40          0.26         0.04       7799.74
        88.50          0.23         0.03       7799.77
        88.60          0.20         0.03       7799.80
        88.70          0.17         0.03       7799.83
        88.80          0.15         0.03       7799.85
        88.90          0.12         0.03       7799.88
        89.00          0.10         0.02       7799.90
        89.10          0.08         0.02       7799.92
        89.20          0.07         0.02       7799.93
        89.30          0.05         0.02       7799.95
        89.40          0.04         0.01       7799.96
        89.50          0.03         0.01       7799.97
        89.60          0.02         0.01       7799.98
        89.70          0.01         0.01       7799.99
        89.80          0.00         0.00       7800.00
        89.90          0.00         0.00       7800.00
